rank,country,pop,imfGDP,unGDP,gdpPerCapita
170,Antigua and Barbuda,97.118,1.693,1.460157909,17432.40182
171,Seychelles,97.739,1.659,1.433826317,16973.7771
172,Solomon Islands,669.823,1.463,1.133967215,2184.159099
173,Grenada,112.003,1.249,1.016208148,11151.48701
174,Gambia,2347.706,1.159,0.985831536,493.6733986
175,Saint Kitts and Nevis,52.823,1.024,0.90985462,19385.49495
176,Vanuatu,299.882,1.024,0.83751979,3414.676439
177,Samoa,197.097,0.92,0.822233281,4667.752426
178,Saint Vincent and the Grenadines,110.589,0.871,0.765318745,7876.009368
179,Comoros,850.886,0.781,1.149802573,917.8667883
180,Dominica,71.808,0.542,0.581484032,7547.905526
181,Sao Tome and Principe,215.056,0.489,0.342781695,2273.826352
182,Tonga,104.494,0.454,0.401460313,4344.747067
183,Micronesia,113.815,0.342,0.329895643,3004.876334
184,Palau,18.008,0.341,0.310248,18936.02843
185,Kiribati,117.606,0.22,0.173655146,1870.652858
186,Marshall Islands,58.791,0.211,0.183,3588.984709
187,Nauru,10.756,0.114,0.103469824,10598.73559
188,Tuvalu,11.646,0.045,0.036697185,3863.987635
189,Andorra,77.142,0,2.858406626,37053.83094
190,Anguilla,14.869,0,0.33752047,22699.60791
191,Aruba,106.314,0,2.667039106,25086.43364
192,Bermuda,62.506,0,6.127341,98028.04531
193,British Virgin Islands,30.03,0,0.97123711,32342.22811
194,Cayman Islands,64.948,0,3.844080626,59187.05158
195,Cook Islands,17.548,0,0.290194195,16537.16634
196,Cuba,11333.483,0,89.6887,7913.604317
197,Cura̤ao,163.424,0,3.121449966,19100.31554
198,North Korea,25666.161,0,16.78860183,654.1142569
199,Egypt,100388.073,0,270.1438134,2690.995109
200,French Polynesia,279.287,0,5.417934152,19399.16341
201,Greenland,56.672,0,2.282927882,40283.17127
202,Liechtenstein,38.019,0,6.193677543,162910.0593
203,Monaco,38.964,0,6.468000877,165999.4066
204,Montserrat,4.989,0,0.062051375,12437.6378
205,New Caledonia,282.75,0,9.445714851,33406.59541
206,Pakistan,216565.318,0,282.5060079,1304.484072
207,Sint Maarten,42.388,0,1.072067039,25291.75802
208,Palestine,4981.42,0,13.3971,2689.413862
209,Sudan,42813.238,0,82.8873959,1936.022589
210,Syria,17070.135,0,22.16307512,1298.353828
211,Turks and Caicos Islands,38.191,0,0.917550492,24025.3068
