Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,NumWebVisitsMonth,Complain,Response,Children,Expenses,TotalAcceptedCmp,NumTotalPurchases,Total_Engaged_Days
1971,Post Graduate,In Relationship,25721.0,2013-05-21,75,7,0,1,1,34,0,5,590
1967,Post Graduate,In Relationship,32474.0,2014-11-05,0,7,0,0,2,11,0,4,57
1979,Post Graduate,Single,88194.0,2014-03-19,19,5,0,1,1,1274,2,32,288
1958,Post Graduate,In Relationship,69096.0,2013-09-27,4,4,0,0,1,653,0,18,461
1970,Post Graduate,In Relationship,74854.0,2013-08-04,90,5,0,0,3,1562,0,19,515
1954,Post Graduate,In Relationship,66991.0,2012-11-09,1,3,0,0,0,1253,0,21,783
1973,Post Graduate,In Relationship,52247.25135379061,2012-09-14,25,8,0,0,1,109,0,9,839
1959,Post Graduate,In Relationship,65031.0,2013-03-17,29,7,0,0,1,863,0,30,655
1975,Post Graduate,In Relationship,60631.0,2013-05-04,88,7,0,0,2,661,1,24,607
1952,Post Graduate,In Relationship,28332.0,2014-04-30,58,2,0,0,0,65,0,8,246
1977,Post Graduate,Single,40246.0,2012-12-19,68,6,0,0,1,13,0,4,743
1972,Post Graduate,In Relationship,75251.0,2012-08-27,34,5,0,1,0,1890,0,19,857
1976,Post Graduate,Single,75825.0,2012-12-10,40,4,0,1,0,2209,1,22,752
1976,Post Graduate,In Relationship,26326.0,2013-04-09,12,3,1,0,0,18,0,4,632
1965,Post Graduate,In Relationship,56046.0,2013-02-01,9,8,0,1,0,692,1,21,699
1985,Post Graduate,Single,29760.0,2012-08-29,87,8,0,0,1,165,0,12,855
1969,Post Graduate,In Relationship,26304.0,2013-06-23,5,7,0,0,1,16,0,4,557
1973,Post Graduate,In Relationship,23559.0,2013-03-07,87,7,0,0,1,79,0,9,665
1963,Post Graduate,In Relationship,38620.0,2013-11-05,56,3,0,0,0,318,0,11,422
1987,Post Graduate,Single,81361.0,2014-02-25,18,1,0,0,0,778,0,27,310
1960,Post Graduate,In Relationship,29440.0,2013-11-08,95,7,0,0,2,56,0,7,419
1970,Post Graduate,In Relationship,36138.0,2013-07-16,48,7,0,0,2,151,1,13,534
1957,Post Graduate,Single,50388.0,2014-05-28,3,7,0,1,1,372,2,17,218
1973,Post Graduate,In Relationship,79593.0,2014-12-05,70,2,0,0,0,1366,1,19,27
1967,Post Graduate,In Relationship,54178.0,2014-01-21,79,2,0,0,1,194,0,10,345
1957,Post Graduate,In Relationship,52247.25135379061,2012-11-19,4,9,0,0,3,603,0,29,773
1957,Post Graduate,Single,52247.25135379061,2014-05-27,45,7,0,0,2,18,0,4,219
1973,Post Graduate,In Relationship,52247.25135379061,2013-11-23,87,1,0,0,0,985,0,15,404
1972,Post Graduate,Single,42394.0,2014-03-23,69,7,0,0,1,32,0,5,284
1970,Post Graduate,In Relationship,23626.0,2014-05-24,84,5,0,0,1,43,0,10,222
1983,Post Graduate,In Relationship,30096.0,2014-05-22,30,6,0,0,1,45,0,6,224
1960,Post Graduate,Single,47916.0,2012-11-22,72,6,0,0,1,606,1,22,770
1972,Post Graduate,Single,51813.0,2013-11-04,37,7,0,0,2,63,0,7,423
1951,Post Graduate,In Relationship,78497.0,2013-01-12,44,2,0,0,0,978,1,25,719
1983,Post Graduate,In Relationship,50150.0,2013-06-20,32,5,0,0,0,410,0,16,560
1960,Post Graduate,Single,47823.0,2013-07-23,0,8,0,0,1,72,0,7,527
1959,Post Graduate,Single,34554.0,2014-03-30,43,6,0,0,1,55,0,7,277
1979,Post Graduate,In Relationship,85693.0,2013-04-20,59,5,0,0,1,1169,0,27,621
1945,Post Graduate,In Relationship,65846.0,2013-05-17,68,4,0,0,0,1120,0,16,594
1959,Post Graduate,In Relationship,87195.0,2014-08-05,35,1,0,1,0,1097,0,20,149
1979,Under Graduate,In Relationship,24594.0,2013-10-12,94,5,0,0,1,29,0,5,446
1964,Post Graduate,In Relationship,49096.0,2013-09-24,15,7,0,0,2,187,0,13,464
1969,Post Graduate,In Relationship,52413.0,2013-02-02,56,6,0,0,2,910,0,26,698
1978,Post Graduate,Single,38557.0,2012-12-19,17,7,0,0,1,145,0,9,743
1960,Post Graduate,In Relationship,89058.0,2012-07-12,18,2,0,0,0,850,0,14,903
1979,Post Graduate,In Relationship,77298.0,2013-02-11,46,3,0,0,1,969,0,24,689
1991,Post Graduate,Single,68126.0,2012-10-11,40,9,0,1,0,1820,1,17,812
1963,Post Graduate,In Relationship,57288.0,2014-06-25,27,6,0,0,1,608,1,20,190
1991,Post Graduate,Single,86037.0,2013-02-01,95,3,0,1,0,730,2,25,699
1980,Post Graduate,In Relationship,43974.0,2012-12-12,19,7,0,0,1,551,0,21,750
1962,Post Graduate,Single,50785.0,2013-10-09,27,6,0,0,2,114,0,8,449
1970,Post Graduate,In Relationship,90765.0,2014-01-24,25,1,0,0,0,1724,2,15,342
1978,Post Graduate,In Relationship,36550.0,2013-02-19,74,9,0,0,1,577,0,20,681
1967,Post Graduate,In Relationship,30753.0,2013-11-07,85,5,0,0,2,81,0,7,420
1969,Post Graduate,In Relationship,21918.0,2013-11-14,37,6,0,0,1,33,0,7,413
1953,Post Graduate,In Relationship,56129.0,2013-06-20,65,4,0,0,1,660,0,22,560
1967,Post Graduate,Single,32557.0,2014-02-24,13,5,0,1,1,80,0,9,311
1985,Post Graduate,In Relationship,19510.0,2013-04-09,63,7,0,0,2,30,0,6,632
1976,Post Graduate,Single,30992.0,2013-04-22,83,7,0,0,1,43,0,5,619
1983,Post Graduate,Single,101970.0,2013-12-03,69,2,0,1,0,1135,3,27,394
1965,Post Graduate,In Relationship,71488.0,2013-02-18,87,1,0,0,0,559,0,16,682
1984,Post Graduate,Single,79607.0,2013-04-21,37,1,0,1,0,1923,0,16,620
1953,Post Graduate,In Relationship,54348.0,2014-08-06,51,6,0,0,2,90,0,8,148
1961,Post Graduate,In Relationship,52247.25135379061,2013-11-07,23,6,0,0,1,404,0,17,420
1956,Post Graduate,In Relationship,77376.0,2014-10-05,72,4,0,0,2,661,0,23,88
1952,Post Graduate,In Relationship,62998.0,2013-09-30,10,5,0,0,1,463,0,19,458
1958,Post Graduate,Single,61331.0,2013-10-03,42,8,0,0,2,632,0,23,455
1969,Post Graduate,In Relationship,73448.0,2014-10-02,10,4,0,0,0,725,0,19,91
1963,Post Graduate,In Relationship,52247.25135379061,2013-11-08,96,4,0,0,1,725,0,19,419
1964,Post Graduate,In Relationship,41551.0,2013-08-14,51,8,0,0,2,279,0,16,505
1967,Post Graduate,In Relationship,62981.0,2013-03-17,21,3,0,0,0,1482,1,23,655
1976,Under Graduate,Single,9548.0,2012-08-08,31,8,0,0,1,29,0,6,876
1959,Post Graduate,In Relationship,33762.0,2013-07-07,61,8,0,0,3,106,0,9,543
1973,Post Graduate,Single,35860.0,2014-05-19,37,5,0,1,2,49,1,6,227
1965,Post Graduate,Single,36921.0,2013-07-28,74,7,0,0,2,38,0,7,522
1992,Post Graduate,Single,92859.0,2012-10-19,46,2,0,0,0,2077,0,22,804
1976,Post Graduate,In Relationship,65104.0,2013-11-14,4,7,0,1,1,1053,0,17,413
1962,Post Graduate,In Relationship,86111.0,2013-04-19,73,2,0,0,0,1385,0,23,622
1974,Post Graduate,Single,68352.0,2013-08-28,47,6,0,0,1,871,0,25,491
1988,Post Graduate,In Relationship,41883.0,2013-03-19,13,7,0,0,1,312,0,12,653
1976,Post Graduate,In Relationship,59809.0,2012-10-18,36,8,0,0,2,877,0,15,805
1975,Post Graduate,In Relationship,23957.0,2012-10-28,47,6,0,1,1,68,0,6,795
1981,Post Graduate,In Relationship,38547.0,2013-08-28,49,8,1,0,1,22,0,4,491
1973,Post Graduate,In Relationship,35688.0,2012-08-22,94,8,0,0,3,211,0,16,862
1966,Post Graduate,In Relationship,49605.0,2014-06-21,65,3,0,0,0,127,0,8,194
1953,Post Graduate,In Relationship,59354.0,2014-04-24,59,3,0,0,2,459,0,16,252
1969,Post Graduate,In Relationship,65747.0,2014-07-03,96,6,0,0,1,460,1,19,182
1972,Post Graduate,In Relationship,46344.0,2012-12-14,28,7,0,0,1,429,0,17,748
1988,Post Graduate,Single,34176.0,2014-12-05,12,6,0,0,1,89,0,11,27
1952,Post Graduate,In Relationship,61010.0,2012-09-10,57,5,0,0,1,1021,0,26,843
1949,Post Graduate,In Relationship,69372.0,2013-02-19,10,4,0,1,0,1381,2,21,681
1958,Post Graduate,Single,49967.0,2013-08-07,4,7,0,0,1,306,0,15,512
1978,Post Graduate,Single,60199.0,2013-12-09,49,4,0,0,3,18,0,4,388
1977,Post Graduate,In Relationship,55375.0,2013-10-17,3,2,0,0,1,162,0,9,441
1955,Post Graduate,Single,80317.0,2013-08-20,64,1,0,0,0,1231,0,18,499
1958,Post Graduate,Single,30523.0,2013-01-07,0,7,0,0,3,13,0,4,724
1945,Post Graduate,In Relationship,70356.0,2012-05-11,20,6,0,0,0,1706,0,27,965
1984,Post Graduate,In Relationship,23228.0,2014-05-01,91,8,0,0,1,121,0,11,245
1975,Post Graduate,Single,74165.0,2013-01-05,9,2,0,0,0,1293,0,20,726
1973,Post Graduate,In Relationship,157243.0,2014-01-03,98,0,0,0,1,1608,0,37,363
1966,Post Graduate,In Relationship,43482.0,2013-11-13,83,6,0,0,3,88,0,9,414
1953,Post Graduate,Single,62551.0,2013-11-18,27,3,0,0,0,421,1,18,409
1959,Post Graduate,Single,52332.0,2013-08-28,63,4,0,0,0,259,1,12,491
1988,Post Graduate,Single,66951.0,2013-02-11,46,1,0,0,0,1117,0,15,689
1957,Post Graduate,In Relationship,26091.0,2014-02-25,84,5,0,0,2,89,0,9,310
1965,Post Graduate,In Relationship,33456.0,2014-04-21,58,7,0,0,2,36,0,6,255
1982,Post Graduate,In Relationship,28718.0,2013-07-13,78,8,0,0,1,57,0,7,537
1970,Post Graduate,In Relationship,50447.0,2014-04-21,4,6,0,0,2,148,0,8,255
1959,Post Graduate,In Relationship,53537.0,2014-01-30,17,5,0,0,2,93,0,8,336
1967,Post Graduate,Single,52074.0,2014-04-04,77,4,0,0,1,119,1,7,272
1975,Post Graduate,In Relationship,80427.0,2012-12-09,56,5,0,0,1,1835,0,28,753
1948,Post Graduate,In Relationship,83837.0,2012-12-16,79,4,0,1,0,1318,2,25,746
1970,Post Graduate,In Relationship,38853.0,2014-05-23,90,7,0,0,2,45,0,7,223
1959,Post Graduate,In Relationship,38285.0,2014-06-24,96,2,0,0,3,10,0,4,191
1951,Post Graduate,In Relationship,78497.0,2013-01-12,44,2,0,0,0,978,1,25,719
1976,Post Graduate,In Relationship,51650.0,2014-11-05,81,5,0,0,1,191,0,10,57
1988,Post Graduate,In Relationship,16248.0,2014-10-05,77,6,0,0,1,57,0,9,88
1946,Post Graduate,In Relationship,66835.0,2013-09-28,21,2,0,0,0,1033,0,24,460
1984,Post Graduate,In Relationship,30477.0,2014-01-22,16,6,0,0,1,66,0,6,344
1961,Under Graduate,In Relationship,28249.0,2014-06-15,80,6,0,0,0,43,0,6,200
1983,Post Graduate,In Relationship,25271.0,2012-05-12,45,9,0,0,1,50,0,5,964
1970,Post Graduate,Single,32303.0,2014-08-03,63,5,0,0,1,39,0,7,151
1966,Post Graduate,In Relationship,61286.0,2013-02-08,34,5,0,0,1,608,0,18,692
1976,Post Graduate,In Relationship,74068.0,2013-03-19,14,2,0,0,0,1581,0,24,653
1964,Post Graduate,In Relationship,45759.0,2013-02-23,13,7,0,0,2,68,0,7,677
1978,Under Graduate,In Relationship,24882.0,2012-09-09,52,6,0,0,1,80,1,5,844
1989,Post Graduate,In Relationship,66973.0,2013-05-17,98,3,0,0,0,1282,0,28,594
1900,Post Graduate,Single,36640.0,2013-09-26,99,5,1,0,1,65,0,6,462
1988,Post Graduate,In Relationship,38872.0,2013-05-30,93,8,0,0,1,91,0,8,581
1973,Post Graduate,In Relationship,51148.0,2013-02-18,38,6,0,0,2,315,0,16,682
1977,Post Graduate,In Relationship,31353.0,2013-12-29,24,8,0,0,2,31,0,6,368
1980,Post Graduate,In Relationship,69661.0,2014-05-13,80,3,0,0,0,834,0,23,233
1954,Post Graduate,In Relationship,80067.0,2013-09-19,82,2,0,0,0,1600,1,17,469
1954,Post Graduate,In Relationship,86718.0,2013-01-17,20,2,0,0,0,1270,0,17,714
1973,Post Graduate,Single,46854.0,2014-03-31,81,8,0,1,2,263,1,15,276
1952,Post Graduate,Single,69142.0,2014-06-29,50,5,0,0,1,535,1,19,186
1968,Post Graduate,Single,75922.0,2013-09-12,60,1,0,0,0,1295,0,18,476
1978,Post Graduate,Single,63693.0,2013-10-14,63,6,0,0,1,1150,0,29,444
1977,Post Graduate,In Relationship,102160.0,2012-02-11,54,4,0,1,0,1240,3,26,1055
1965,Post Graduate,Single,40637.0,2013-07-17,72,7,0,0,2,38,0,6,533
1984,Post Graduate,Single,18890.0,2012-10-11,5,6,0,1,0,35,1,4,812
1988,Post Graduate,In Relationship,29604.0,2013-08-12,88,9,0,0,1,53,1,5,507
1963,Post Graduate,Single,48721.0,2013-05-13,50,6,0,0,2,293,0,17,598
1966,Post Graduate,In Relationship,44794.0,2014-08-06,99,6,0,0,1,65,0,6,148
1954,Post Graduate,Single,64497.0,2012-10-09,17,8,0,1,1,1804,1,29,814
1956,Post Graduate,In Relationship,46097.0,2013-03-31,11,4,0,0,1,241,0,15,641
1954,Post Graduate,In Relationship,77972.0,2014-03-18,18,1,0,0,0,1101,0,20,289
1968,Post Graduate,In Relationship,44377.0,2012-05-10,70,8,0,0,2,264,0,19,966
1974,Post Graduate,In Relationship,46014.0,2013-01-21,21,7,0,0,2,541,0,26,710
1985,Post Graduate,In Relationship,70951.0,2013-04-05,66,1,0,0,0,1198,0,17,636
1977,Post Graduate,In Relationship,41443.0,2014-01-04,79,8,0,0,1,482,0,20,362
1978,Post Graduate,Single,52195.0,2014-12-05,2,8,0,0,3,17,0,4,27
1948,Post Graduate,In Relationship,83790.0,2013-11-15,81,3,0,0,0,1615,2,25,412
1954,Post Graduate,Single,44551.0,2013-08-31,24,7,0,0,1,285,0,12,488
1980,Post Graduate,In Relationship,69508.0,2012-11-14,48,6,0,0,1,1135,0,28,778
1988,Post Graduate,In Relationship,45204.0,2014-11-04,93,3,0,0,1,114,0,7,58
1969,Post Graduate,In Relationship,72460.0,2013-11-14,56,1,0,0,0,1047,0,16,413
1970,Post Graduate,In Relationship,77622.0,2014-04-14,3,3,0,0,2,714,0,22,262
1980,Post Graduate,In Relationship,30732.0,2013-05-01,44,8,0,0,1,185,0,13,610
1962,Post Graduate,Single,63887.0,2012-08-09,38,6,0,0,1,1245,0,32,875
1978,Post Graduate,In Relationship,42011.0,2013-03-26,46,8,0,0,1,189,0,12,646
1976,Post Graduate,In Relationship,51369.0,2012-10-25,84,8,0,0,1,576,0,16,798
1952,Post Graduate,Single,51537.0,2012-09-12,27,8,0,0,1,1103,0,18,841
1972,Post Graduate,In Relationship,79930.0,2012-08-08,72,2,0,0,0,1753,0,17,876
1986,Post Graduate,In Relationship,34320.0,2014-02-16,66,8,0,0,1,17,0,4,319
1966,Post Graduate,Single,37070.0,2013-03-20,30,7,0,1,2,433,0,23,652
1962,Post Graduate,Single,81975.0,2013-05-01,2,7,0,0,1,1588,1,14,610
1971,Post Graduate,In Relationship,38590.0,2013-05-15,65,8,0,0,1,22,0,4,596
1951,Post Graduate,Single,15033.0,2014-04-16,37,3,0,0,0,19,0,5,260
1965,Post Graduate,In Relationship,62745.0,2013-03-23,89,5,0,0,1,1117,0,29,649
1975,Post Graduate,In Relationship,22212.0,2013-09-12,49,6,0,0,1,69,0,8,476
1982,Post Graduate,In Relationship,23661.0,2013-04-12,46,7,0,0,1,23,0,5,629
1958,Post Graduate,Single,79761.0,2013-04-10,32,3,0,0,1,605,0,19,631
1973,Post Graduate,Single,7500.0,2013-12-26,54,7,0,0,1,57,0,11,371
1893,Post Graduate,Single,60182.0,2014-05-17,23,4,0,0,1,22,0,4,229
1968,Post Graduate,Single,73455.0,2013-10-28,98,3,0,0,0,2088,1,22,430
1958,Post Graduate,In Relationship,64961.0,2012-12-23,97,3,0,0,1,1009,0,16,739
1971,Post Graduate,Single,22804.0,2013-07-31,75,9,0,0,1,26,0,5,519
1990,Post Graduate,In Relationship,73687.0,2013-11-28,8,2,0,1,0,1627,1,22,399
1958,Post Graduate,In Relationship,61074.0,2012-08-17,37,7,0,0,1,1102,0,31,867
1964,Post Graduate,In Relationship,31686.0,2014-05-06,31,6,0,0,2,17,0,6,240
1972,Post Graduate,In Relationship,80134.0,2013-05-20,40,6,0,1,1,1690,3,16,591
1953,Post Graduate,In Relationship,75027.0,2013-09-01,74,5,0,0,1,1390,0,21,487
1988,Post Graduate,In Relationship,67546.0,2012-08-31,90,3,0,0,0,2126,0,20,853
1969,Post Graduate,In Relationship,65176.0,2012-10-29,57,6,0,0,1,1531,0,25,794
1975,Post Graduate,Single,31160.0,2013-09-16,59,8,0,0,1,64,0,7,472
1985,Post Graduate,Single,29938.0,2013-10-27,52,6,0,0,1,26,0,6,431
1974,Post Graduate,Single,102692.0,2013-05-04,5,2,0,1,0,1112,4,29,607
1958,Post Graduate,In Relationship,26490.0,2012-09-22,92,6,0,0,0,210,0,11,831
1967,Post Graduate,In Relationship,75702.0,2012-08-29,77,8,0,0,2,1148,0,26,855
1974,Post Graduate,Single,30899.0,2012-10-13,35,6,0,0,1,33,0,6,810
1961,Post Graduate,In Relationship,63342.0,2012-10-16,48,6,0,0,1,1101,1,19,807
1964,Post Graduate,Single,45989.0,2012-10-22,97,3,0,0,1,322,0,16,801
1964,Post Graduate,Single,18701.0,2013-04-06,95,5,0,0,2,44,0,10,635
1957,Post Graduate,Single,40737.0,2013-08-12,24,8,0,0,3,17,0,4,507
1979,Post Graduate,Single,15287.0,2012-10-10,60,7,0,1,1,31,1,6,813
1968,Post Graduate,Single,69674.0,2013-05-22,46,5,0,0,2,845,0,25,589
1970,Post Graduate,In Relationship,44159.0,2014-06-17,85,5,0,0,1,275,0,15,198
1978,Post Graduate,In Relationship,37717.0,2012-11-23,31,9,0,0,1,25,0,4,769
1952,Post Graduate,In Relationship,43776.0,2013-03-02,9,8,0,1,2,275,0,17,670
1966,Post Graduate,In Relationship,38179.0,2013-03-14,30,7,0,0,2,90,0,11,658
1963,Post Graduate,In Relationship,80124.0,2014-06-26,47,1,0,0,0,1495,1,19,189
1970,Post Graduate,In Relationship,38097.0,2012-10-15,70,7,0,1,2,184,1,11,808
1970,Post Graduate,In Relationship,72940.0,2013-06-19,13,1,0,0,0,981,0,13,561
1970,Post Graduate,In Relationship,22070.0,2013-04-10,11,6,0,0,1,67,0,8,631
1953,Post Graduate,Single,69267.0,2012-09-22,31,7,0,1,0,1635,0,14,831
1983,Post Graduate,Single,31788.0,2014-03-20,15,5,1,0,1,60,0,10,287
1975,Post Graduate,In Relationship,61905.0,2014-04-02,2,5,0,0,1,231,0,12,274
1960,Post Graduate,In Relationship,29315.0,2014-06-04,55,6,0,0,2,48,0,10,211
1963,Post Graduate,Single,33378.0,2013-06-02,38,7,0,0,2,99,0,9,578
1963,Post Graduate,In Relationship,66313.0,2013-09-16,86,4,0,0,1,770,0,23,472
1956,Post Graduate,Single,60714.0,2013-01-17,56,5,0,1,0,957,0,23,714
1981,Post Graduate,In Relationship,77882.0,2014-04-30,29,1,0,0,0,818,0,12,246
1986,Post Graduate,Single,69867.0,2013-02-04,30,1,0,1,0,925,1,17,696
1968,Post Graduate,Single,63841.0,2013-04-21,64,6,0,0,1,908,0,22,620
1981,Under Graduate,In Relationship,24480.0,2013-11-02,46,7,0,0,1,102,0,10,425
1976,Post Graduate,In Relationship,51369.0,2012-10-25,84,8,0,0,1,576,0,16,798
1946,Post Graduate,In Relationship,37760.0,2012-08-31,20,7,0,0,0,317,0,13,853
1974,Post Graduate,In Relationship,65640.0,2014-01-03,74,2,0,0,1,461,0,15,363
1975,Post Graduate,In Relationship,44319.0,2014-04-17,18,5,0,0,2,37,0,7,259
1974,Post Graduate,In Relationship,30631.0,2013-12-07,75,7,0,0,1,70,0,7,390
1952,Post Graduate,In Relationship,75278.0,2013-01-29,17,3,0,0,0,930,0,23,702
1956,Post Graduate,In Relationship,50898.0,2013-08-01,88,5,0,0,2,859,0,33,518
1966,Post Graduate,Single,79946.0,2014-12-05,19,3,0,0,0,1478,0,22,27
1949,Post Graduate,Single,35416.0,2013-06-13,62,8,0,0,0,390,0,16,567
1984,Post Graduate,In Relationship,32414.0,2013-04-07,11,7,0,0,0,52,1,5,634
1969,Post Graduate,In Relationship,38361.0,2013-12-27,74,7,0,0,1,137,0,10,370
1980,Post Graduate,In Relationship,82497.0,2012-10-31,32,4,0,0,0,1919,1,19,792
1971,Post Graduate,In Relationship,16626.0,2014-01-15,76,9,0,0,2,68,0,9,351
1965,Post Graduate,In Relationship,29672.0,2013-12-03,6,6,0,0,2,25,0,4,394
1952,Post Graduate,In Relationship,55951.0,2012-08-23,62,8,0,0,1,1374,2,23,861
1988,Post Graduate,Single,35388.0,2013-07-03,20,7,0,0,1,32,0,5,547
1986,Post Graduate,In Relationship,42386.0,2013-01-13,43,8,0,0,1,100,0,7,718
1982,Post Graduate,Single,68627.0,2013-12-01,45,1,0,0,0,825,0,12,396
1965,Post Graduate,Single,57912.0,2014-03-17,34,5,0,0,1,916,1,28,290
1958,Post Graduate,Single,35246.0,2014-04-16,53,5,0,0,2,62,0,11,260
1956,Post Graduate,In Relationship,58821.0,2013-12-10,44,6,0,0,1,728,0,21,387
1978,Post Graduate,In Relationship,46377.0,2014-01-03,89,4,0,0,1,90,0,7,363
1988,Post Graduate,Single,39747.0,2014-04-13,43,8,0,0,1,273,0,13,263
